Condition,Biomarker,Molecular_Type,Sensitivity_Range,Specificity_Range,AUC_Range,Analytical_Methods,Biomaterial,Clinical_Application
Leigh syndrome,Arginine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Citrulline,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Valine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Leucine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Isoleucine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,ADMA,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Cysteine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Histidine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,1-Methyl-histidine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Lysine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Asparagine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Glutamate,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Glutamine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Glycine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Methionine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Phosphoserine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Serine,other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leigh syndrome,Threonine),other,66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Not specified,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.","Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome."
Leber Hereditary Optic Neuropathy (LHON),Vitamin B12 (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Holotranscobalamin (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Methylmalonic acid (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Total plasma homocysteine (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Nicotinamide (Vitamin B3) (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),1-methylhistidine (Metabolite),metabolite,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Taurine (Metabolite - amino acid),other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Retinal Nerve Fiber Layer (RNFL) visibility scores (Imaging Biomarker),other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Never fiber bundle defects (Imaging Biomarker),other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Functional markers measured in blood cells (e.g.,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),respiratory chain complex activities,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),mitochondrial DNA copy number),other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),Biochemical markers of serum/plasma (e.g.,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),lactate,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),pyruvate,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),FGF-21,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),GDF-15),other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),DNA markers (e.g.,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),mitochondrial DNA mutations,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Leber Hereditary Optic Neuropathy (LHON),mitochondrial DNA deletions).,other,Not reported,94.74%,Not reported,Spectrophotometry; Chromatography,"Serum, Plasma, Blood (including blood cells, serum, plasma).","Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies."
Kearns-Sayre syndrome (KSS),Increased tau protein,protein,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Low 5-methyltetrahydrofolate (5-MTHF),metabolite,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Increased free sialic acid,metabolite,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Increased sphingomyelin C16:0 (d18:1/C16:0),lipid,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Lactate,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Pyruvate,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Creatine-Kinase,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Amino Acids,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Organic Acids,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Carnitines,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),Oxidative Stress Parameters,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
Kearns-Sayre syndrome (KSS),FGF-21,other,Not reported,Not reported,Not reported,Chromatography,"Cerebrospinal Fluid (CSF), Blood, Urine, Saliva","Diagnosis of KSS and other mitochondrial disorders, monitoring disease progression"
