biomarker_id,biomarker_name,molecular_class,biomaterial,analytical_method,sensitivity_percent,specificity_percent,disease_specificity,age_group_performance,data_source,clinical_application,sensitivity_range,specificity_range,auc_range,condition
B015,Acylcarnitines,Lipid derivatives,Plasma,Tandem MS,,,Fatty acid oxidation defects,Pediatric screening,systematic_review_biomarkers,,,,,
B016,Thiosulfate (EE),Sulfur metabolite,Plasma/Urine,HPLC/GC-MS,100.0,95.0,Ethylmalonic encephalopathy,Pediatric (infantile EE),systematic_review_biomarkers,,,,,
B017,Cardiolipin ratios (Barth),Phospholipid,Platelets/Muscle,LC-MS/MS,100.0,100.0,Barth syndrome,Pediatric/Adult,systematic_review_biomarkers,,,,,
B018,CoQ10 (plasma),Quinone,Plasma,HPLC-UV/ED,,,CoQ10 deficiency,Adult > Pediatric,systematic_review_biomarkers,,,,,
B019,Ubiquinol/ubiquinone ratio,Redox ratio,Plasma,HPLC,,,"CoQ10 deficiency, oxidative stress",Adult > Pediatric,systematic_review_biomarkers,,,,,
B020,GDF-15,Protein (cytokine),Serum/Plasma,ELISA,83.0,92.0,,,mitochondrial_biomarkers_performance,Diagnosis/Screening,,,,
B021,FGF-21,Protein (growth factor),Serum/Plasma,ELISA,71.0,88.0,,,mitochondrial_biomarkers_performance,Diagnosis/Screening,,,,
B022,Creatine,Small molecule (guanidino compound),Plasma/Serum,Spectrophotometry/LC-MS,27.0,76.0,,,mitochondrial_biomarkers_performance,Diagnosis (severe cases),,,,
B023,Cell-free circulating mtDNA,Nucleic acid (mitochondrial DNA),Plasma,qPCR,44.0,94.0,,,mitochondrial_biomarkers_performance,MELAS monitoring,,,,
B024,CSF Lactate,Small molecule (organic acid),CSF,Spectrophotometry,90.0,88.0,,,mitochondrial_biomarkers_performance,Neurological diagnosis,,,,
B025,Plasma Lactate,Small molecule (organic acid),Plasma,Spectrophotometry,34.0,83.0,,,mitochondrial_biomarkers_performance,General screening,,,,
B026,CSF Alanine,Amino acid,CSF,Ion exchange chromatography,75.0,76.0,,,mitochondrial_biomarkers_performance,Diagnosis/Monitoring,,,,
B027,Plasma Alanine,Amino acid,Plasma,Ion exchange chromatography,50.0,76.0,,,mitochondrial_biomarkers_performance,Diagnosis/Monitoring,,,,
B028,Lactate/Pyruvate Ratio,Ratio (organic acids),Plasma/CSF,Spectrophotometry,31.0,100.0,,,mitochondrial_biomarkers_performance,Pyruvate metabolism,,,,
B029,CSF Neurofilament Light,Protein (structural),CSF,Simoa/ELISA,90.0,,,,mitochondrial_biomarkers_performance,Prognosis/Monitoring,,,,
B030,Serum Neurofilament Light,Protein (structural),Serum/Plasma,Simoa,25.0,94.0,,,mitochondrial_biomarkers_performance,CNS involvement,,,,
B031,Malondialdehyde,Lipid (aldehyde),Plasma,Spectrophotometry/HPLC,,,,,mitochondrial_biomarkers_performance,Oxidative stress,,,,
B032,Glutathione (reduced),Tripeptide (antioxidant),Plasma/Erythrocytes,Spectrophotometry,,,,,mitochondrial_biomarkers_performance,Oxidative stress,,,,
B033,3-Methylglutaconic acid (urine),Small molecule (organic acid),Urine,GC-MS,11.0,,,,mitochondrial_biomarkers_performance,Specific syndromes,,,,
B034,Acylcarnitines,Acyl-CoA derivatives,Plasma,Tandem MS (MS/MS),,,,,mitochondrial_biomarkers_performance,Fatty acid disorders,,,,
B035,Serum Neurofilament light chain (NfL),protein,Blood samples (serum),ELISA; Simoa; Chemiluminescence,,,,,original_analysis,"Potential biomarker for neurological dysfunction in MELAS patients, and for monitoring disease progression.",Not reported,Not reported,Not reported,MELAS (Mitochondrial Encephalomyopathy Lactic Acidosis Stroke-like episodes)
B036,FGF21,protein,"Plasma, serum",ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,,,,,original_analysis,"Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy.",44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,Myoclonic Epilepsy with Ragged Red Fibers (MERRF)
B037,GDF-15,protein,"Plasma, serum",ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,,,,,original_analysis,"Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy.",44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,Myoclonic Epilepsy with Ragged Red Fibers (MERRF)
B038,Creatine,metabolite,"Plasma, serum",ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,,,,,original_analysis,"Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy.",44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,Myoclonic Epilepsy with Ragged Red Fibers (MERRF)
B039,ccf-mtDNA,dna,"Plasma, serum",ELISA; PCR; dd-PCR; Colorimetric; AlphaLisa,,,,,original_analysis,"Diagnosis of primary mitochondrial disease, monitoring disease course, evaluating therapy efficacy.",44%; 64%; 97%,Not reported,0.61; 0.73; 0.62,Myoclonic Epilepsy with Ragged Red Fibers (MERRF)
B040,Creatine kinase,protein,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B041,GDF-15,protein,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B042,FGF-21,protein,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B043,Gelsolin,protein,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B044,Neurofilament light-chain,protein,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B045,Lactate,metabolite,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B046,Pyruvate,metabolite,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B047,Lactate:Pyruvate ratio,metabolite,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B048,Creatine,metabolite,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B049,Malondialdehyde,metabolite,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B050,Circulating cell-free mtDNA (nucleic acid),dna,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B051,Amino acids (metabolite - Alanine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B052,Arginine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B053,Citrulline,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B054,Valine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B055,Leucine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B056,Isoleucine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B057,ADMA,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B058,Cysteine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B059,Histidine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B060,1-Methyl-histidine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B061,Lysine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B062,Asparagine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B063,Glutamate,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B064,Glutamine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B065,Glycine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B066,Methionine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B067,Phosphoserine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B068,Serine,other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B069,Threonine),other,"Blood (plasma, serum, arterial blood, venous blood), CSF (cerebrospinal fluid), Urine.",Not specified,,,,,original_analysis,"Diagnostic, screening, monitoring, and prognostic applications for mitochondrial diseases in general. GDF-15 and FGF-21 are considered stronger diagnostic biomarkers. Further studies are needed for more specific applications in Leigh syndrome.",66-97.9%; 20-82.8%,64-97%; 57.5-97.2%,Not reported,Leigh syndrome
B070,Vitamin B12 (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B071,Holotranscobalamin (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B072,Methylmalonic acid (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B073,Total plasma homocysteine (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B074,Nicotinamide (Vitamin B3) (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B075,1-methylhistidine (Metabolite),metabolite,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B076,Taurine (Metabolite - amino acid),other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B077,Retinal Nerve Fiber Layer (RNFL) visibility scores (Imaging Biomarker),other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B078,Never fiber bundle defects (Imaging Biomarker),other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B079,Functional markers measured in blood cells (e.g.,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B080,respiratory chain complex activities,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B081,mitochondrial DNA copy number),other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
B082,Biochemical markers of serum/plasma (e.g.,other,"Serum, Plasma, Blood (including blood cells, serum, plasma).",Spectrophotometry; Chromatography,,,,,original_analysis,"Regular vitamin B12 screening in LHON mutation carriers for early treatment and potential prognosis. Potential for diagnostic use and monitoring of therapeutic interventions for taurine and nicotinamide deficiencies. MC imaging for detecting or monitoring never fiber bundle defects and quickly identifying patients with high suspicion of LHON. A panel of diverse blood biomarkers can assist in the diagnosis of primary mitochondrial disease patients, assess mitochondrial dysfunction in multifactorial diseases, and select patients for mitochondria-targeting therapies.",Not reported,94.74%,Not reported,Leber Hereditary Optic Neuropathy (LHON)
